format,domain,n,name
bakery,paris.co.kr,2346,파리바게뜨 김해내외점
bakery,parisbaguette.com,1070,PARIS BAGUETTE
bakery,tlj.co.kr,1018,뚜레쥬르 김해내동점
bakery,blog.naver.com,212,아크
bakery,fujipanstore.com,182,エピシェール沖縄読谷店
bakery,viedefrance.co.jp,177,ヴィ・ド・フランス
bakery,dunkindonuts.co.kr,171,던킨도너츠 창원시티세븐점
bakery,nogaminopan.com,159,乃が美 はなれ プラザハウス販売店
bakery,ameblo.jp,139,ポールシュガー
bakery,littlemermaid.jp,138,リトルマーメイド
bakery,donq.co.jp,122,ドンク 沖縄リウボウ店
bakery,dcake.co.kr,96,떡보의하루 창원점
bakery,cocohodo.co.kr,80,코코호도 창원대방점
bakery,pompadour.co.jp,76,ポンパドウル御影店
bakery,ginza-nishikawa.co.jp,62,銀座に志かわ 沖縄普天間店
bakery,hare-pan.com,61,純生食パン工房 HARE/PAN 沖縄店
bakery,aeon-bakery.co.jp,58,カンテボーレ 和歌山店
bakery,shokupan-ippondo.jp,57,一本堂 名東上社店(Ippondo)
bakery,heart-bread.com,56,ハートブレッドアンティーク イオンモールりんくう泉南店
bakery,saint-germain.co.jp,54,サンジェルマン 豊橋店
bakery,andersen.co.jp,47,DANISH HEART(デニッシュハート阪急うめだ本店)
bakery,boulangerie.co.kr,46,브랑제리 전남여천점
bakery,shillabakery.com,45,신라명과 창원남산점
bakery,saint-marc-hd.com,44,BAQET
bakery,addal.co.kr,43,아딸 나운점
bakery,bizeun.co.kr,43,빚은 여수문수점
bakery,yamazakipan.co.jp,41,サンエトワール 立花駅店
bakery,r.tabelog.com,40,パン ドゥ マルシェ
bakery,h-saint-germain.co.jp,39,サンヴァリエ ソシア店
bakery,r.goope.jp,39,パティスリーエピソード
bakery,instagram.com,39,Milgot Bakery
bakery,edaynday.com,38,데이앤데이 문현점
bakery,cityfood.co.kr,37,우리떡방앗간
bakery,bbanggoomteo.co.kr,36,빵굼터 전주평화점
bakery,breadnco.kr,35,브레댄코 천안청당점
bakery,mont-thabor.jp,34,モンタボー東大阪店
bakery,penguinbakery.com,30,ペンギンベーカリー泉佐野店
bakery,melon-de-melon.com,30,Melon de melon 岡本店
bakery,auntieannes.co.kr,29,앤티앤스 디큐브거제점
bakery,isaburo.jp,28,伊三郎製パン 住吉店
bakery,geocities.jp,27,クロックムシュー
bakery,sweetsguide.jp,27,ブランジェリー・プチ・ブレ
bakery,sindduk.com,26,신떡 창원중앙점
bakery,kobeya.co.jp,25,フレッシュベーカリー 神戸屋
bakery,sunmerrys.co.jp,24,サンメリー 池上店
bakery,okayama-kimuraya.co.jp,23,キムラヤ アイネスフクヤマ店
bakery,pariscroissant.co.kr,23,PARIS CROISSANT Café
bakery,sizuya.co.jp,23,志津屋 桂坂店
bakery,la-pan.jp,22,ラ・パン 関目店
bakery,okano.co.jp,22,Coos Conservo 千林店 (クーズ コンセルボ)
bakery,thecitybakery.jp,22,THE CITY BAKERY
bakery,cafe.naver.com,21,꼬띠디앙
bakery,arteria-bakery.com,21,アルテリアベーカリー
bakery,gontrancherrier.kr,21,Gontran Cherrier
bakery,ryoyupan.co.jp,21,ブレッドハウス 大野店
bakery,rotiboykorea.com,21,로티보이 남천KBS점
bakery,blog.goo.ne.jp,20,ブーランジェリー コナ
bakery,kobeyarestaurant.co.jp,20,神戸屋キッチン
bakery,daisy1962.co.jp,20,デイジイ東京 (Daisy Tokyo)
bakery,rollingpin.co.kr,20,ROLLING PIN
bar,monteroza.co.jp,1057,白木屋 国際通り店
bar,ameblo.jp,637,グリーンフラッシュ
bar,tudari.co.kr,602,투다리
bar,torikizoku.co.jp,537,鳥貴族 三田ウッディタウン店
bar,r.gnavi.co.jp,501,シーサーズ
bar,beauty-park.jp,460,理容プラージュ イオンやいま前店
bar,cuttwin.co.jp,356,理容cut-A 名護店
bar,yoronotaki.co.jp,345,養老乃瀧 寄宮店
bar,blog.naver.com,283,94STREET 속초부영점
bar,chimney.co.jp,255,はなの舞 ルートイン札幌駅北口店
bar,daisyo.co.jp,216,大庄水産 札幌・読売北海道ビル店
bar,oizumifoods.co.jp,191,くいもの屋 わん 琴似店
bar,hitosara.com,190,居酒屋和楽
bar,tabelog.com,183,ぶらんちゅ 国際通り店
bar,geocities.jp,177,Seaside Dining 洒楽
bar,gourmet.yahoo.co.jp,177,若大将
bar,tsubohachi.co.jp,174,つぼ八 胡屋店
bar,yossix.co.jp,173,ニパチ 富士駅前店
bar,localplace.jp,171,瑠璃庵
bar,marche.co.jp,170,八剣伝北24条店
bar,search.daisyo.co.jp,131,庄や古川駅前店
bar,pub-hub.com,122,HUB COCONO SUSUKINO
bar,r.goope.jp,114,BumBun
bar,andmowa.com,110,盛岡個室物語竹取御殿盛岡大通り店
bar,doma-doma.com,101,土間土間 山形店
bar,miraizaka.com,99,ミライザカ
bar,yataizushi.jp,94,や台ずし 宮の沢町
bar,blog.livedoor.jp,90,てんぐの蔵
bar,phads.jp,90,新時代 仙台新伝馬町店
bar,dd-holdings.jp,84,ワイン酒場 ガブリシャス 仙台店
bar,via-hd.co.jp,82,備長扇屋盛岡南店
bar,teke-teke.com,82,てけてけ
bar,dynac-japan.com,82,鳥の一 幕張店
bar,garten.co.kr,78,가르텐비어조양점
bar,osakeno-museum.com,76,お酒の美術館 ヨドバシ仙台店
bar,hotpepper.jp,76,居酒屋どんく 市電通り店
bar,tsukadanojo.jp,76,宮崎県日南市 塚田農場 札幌駅北口店
bar,savorjapan.com,75,おこのみやき・もんじゃ沖縄鉄板 たぬき
bar,cheerskorea.com,75,치어스 통영 무전점
bar,fishngrill.net,74,피쉬앤그릴 속초점
bar,danke-bros.co.jp,74,矢まと 古河店
bar,roza.monteroza.co.jp,71,濱焼北海道魚萬 深川店
bar,s.tabelog.com,65,魚活鮮とあぶり焼 海へ
bar,torimero.com,64,三代目 鳥メロ 福井駅前店
bar,ginzalion.jp,64,ビヤホールライオン 狸小路店
bar,teng.co.jp,63,天狗 浜松船越店
bar,bonggubeer.com,61,봉구비어 대청점
bar,atom-corp.co.jp,61,いろはにほへと 花川店
bar,wabar.co.kr,60,Wabar
bar,nis-torisho.com,58,鶏笑胡屋店
bar,aiseki-ya.com,58,相席屋 沖縄国際通り店
bar,locoplace.jp,58,afro nest
bar,ggmi.co.kr,57,역전할머니맥주 통영무전점
bar,bar-navi.suntory.co.jp,57,HIGHBALL BAR 杜の都1923
bar,hanbey.com,57,薄利多賣 半兵ヱ
bar,nttbj.itp.ne.jp,57,アンジュ・コワフィール城間店
bar,blogs.yahoo.co.jp,55,ぐんかん岬
bar,qbhouse.co.jp,55,QBハウス サンエー経塚シティ店
bar,colowide.co.jp,54,海へ 南6条店
bar,dartsup.co.jp,52,DartsUP本厚木店
bar,cafe.naver.com,52,멀티플러스 창원점
bar,daikichi.co.jp,51,大吉 北郷店
bar,dan-b.com,51,DINERS'BAR LUMBER JACK
bar,g-taste.co.jp,51,とりあえず吾平
bar,dailybeer.co.kr,50,Daily beer
bar,cityfood.co.kr,48,붐비어
bar,movia.jpn.com,48,やきとりの扇屋仙台荒井店
bar,profile.ameba.jp,48,ティーボヘアー
bar,isomaru.jp,47,磯丸水産 札幌狸小路店
bar,sugidama-sushiizakaya.jp,47,杉玉
bar,instagram.com,46,酒処・小料理 迦風 (かふう)
bar,funbeerking.com,46,비어킹
bar,plage-bb.co.jp,45,理容プラージュ
bar,ikkun.co.kr,44,꾼노리 창원용호점
bar,ggyao.usen.com,43,焼きの大関
bar,shinobuya.horiifood.co.jp,43,隠れ菴　忍家　多賀城店
bar,peraichi.com,42,沖縄食材ダイニング キリバール
bar,amataro.jp,41,甘太郎 手稲店
bar,dipunto.wine,41,Di PUNTO
bar,eonet.ne.jp,40,Lammin
bar,r.tabelog.com,40,Mahi Mahi
bar,yamachan.co.jp,39,世界の山ちゃん
bar,foodplace.jp,39,BAR Another Door
bar,aix-group.co.jp,38,山の猿 真駒内店
bar,sumamoba.com,38,ほんまや
bar,toritoritei.co.jp,37,とりとり亭富士店
bar,job-gear.jp,37,理容プラージュ 釧路店
bar,rakuzo.dkdining.com,37,楽蔵 盛岡大通店
bar,barmoonwalk.jp,36,Bar moonwalk 虎屋横丁店
bar,yataiya-group.com,36,ニパチ 水前寺店
bar,homepage3.nifty.com,36,なごみ
bar,sp.raqmo.com,35,天晴
bar,eat-factory.com,35,屋台居酒屋大阪満マル 小松店
bar,app.catchtable.co.kr,35,사이쵸
bar,tori-tetsu.com,35,とり鉄 仙台国分町店
bar,wa-bar.co.kr,35,와바 전주송천점
bar,kaburaya.bz,34,かぶら屋 高槻店
bar,3qcut.com,34,3Q CUT
bar,schmatz.jp,34,Schmatz
bar,princehotels.co.jp,34,ロビーラウンジ摩周
bar,blog.goo.ne.jp,34,bar Collage
bar,syu-wa.co.jp,33,加賀屋
bar,osusumeya.co.jp,33,おすすめ屋千葉店
bar,dionys.co.kr,32,디오니스 광주황금점
bar,goo.gl,32,一本気の源侍那覇本店
bar,blog.kbmyshop.com,32,세븐호프
bar,cut-factory.net,32,カットファクトリー イオン多賀城店
bar,www7b.biglobe.ne.jp,32,フィードバック
bar,hokkaido-aji.com,31,北の味紀行と地酒北海道 千葉駅前店
bar,sfpdining.jp,31,五の五 本厚木北口店
bar,at-ml.jp,30,歩っぽや
bar,page.line.me,30,はなび美里店
bar,pronto.co.jp,30,プロント福岡新天町店
bar,ys-holdings.co.jp,29,居酒屋ごはん ふらりむらさき 盛岡津志田店
bar,watamifoodservice.jp,29,炭火焼だいにんぐ わたみん家 仙台西口店
bar,yuudining.com,29,居酒屋それゆけ！鶏ヤロー！福島栄町店
bar,shokokai.or.jp,29,島料理いすん
bar,kirincity.co.jp,29,キリンシティプラス JR仙台駅
bar,maps.app.goo.gl,29,居酒屋 大都会 Okinawa 那覇店
bar,11cut.com,28,11Cut
bar,gabuchiki.com,28,がブリチキン。那覇久茂地店
bar,193.co.jp,28,居酒屋 一休
bar,lit.link,28,串酒場まいど1号
bar,homepage2.nifty.com,28,久楽屋
bar,hamayaki.jp,28,浜焼太郎 手稲店
bar,cafe.daum.net,28,김해뮤즈라이브
bar,cityheaven.net,28,ALLURE Happiness
bar,hikari-food-service.jp,27,焼きとん 大黒 広島中央店
bar,horiifood.co.jp,27,隠れ庵 忍家
bar,miller-time.co.kr,26,밀러타임 전주평화점
bar,j47.jp,26,DINING BAR 伽藍堂
bar,ichibandori.com,26,博多一番どり 厳原店
bar,700beer.com,26,700비어 감천점
bar,g.page,26,洋風酒場TOY
bar,yukjunfnc.kr,26,역전할머니맥주
bar,harrykorea.co.kr,26,해리피아 용인명지대점
bar,active-source.co.jp,25,晩杯屋 天満店
bar,cs-delight.co.jp,25,沖縄料理泡盛琉歌沖縄本店
bar,idasarang.com,25,다사랑치킨여문점
bar,alleypub.com,25,엘리팝 대구현풍점
bar,kids1109.co.jp,25,やさい屋つゆしゃぶ きょうと畑
bar,brands.tbi-group.co.jp,25,ちゅらちゅら 那覇国際通り店
bar,kamadoka.com,25,かまどか
bar,hibiya-bar.com,24,日比谷Bar 渋谷1号店
bar,riyou.jp,24,理容室ブーム 泊店
bar,saiya.co.kr,24,사이야 전주효자점
bar,shizuoka.j47.jp,24,六軒町
bar,gourmet.suntory.co.jp,24,ホルモン居酒屋 轍（ＷＡＤＡＣＨＩ）
bar,www1.ocn.ne.jp,23,まる
bar,jandj-food.co.jp,23,長崎さかな市場 江戸町店
bar,apcompany.jp,23,じとっこ組合盛岡店
bar,bee-style.jp,23,Bee仙台
bar,retty.me,23,なかや
bar,jankara.ne.jp,23,Karaoke Cafe ススキノ
bar,rockq.co.kr,22,락휴
bar,x.com,22,シーシャカフェ&バー modern
bar,bagus-99.com,22,Bane BAGUS
bar,just.st,22,ゆめ家
bar,dreamersgroup.jp,22,串屋横丁 四街道店
bar,lin.ee,21,下田理容院
bar,kaihan.co.jp,21,昭和食堂熊本にじの森店
bar,yugaekju.co.kr,21,유객주 평촌역점
bar,hanshinpocha.com,21,한신포차
bar,sapporobeer.jp,21,居酒屋いっちょこい
bar,kichiri.com,21,KICHIRI 三宮フラワーロード
bar,beauty.hotpepper.jp,20,ヘアーサロンループス
bar,beercabin.co.kr,20,비어캐빈(시흥 사거리)
bar,shinjuku-omoide.com,20,やきとん 野方屋
bar,www5.ocn.ne.jp,20,ヘアーサロンコバヤシ
