pref,format,openings
01,bakery,509
01,bar,622
01,cafe,233
01,conv,68
01,drug,11
01,restaurant,2602
01,super,5
02,bakery,12
02,bar,11
02,cafe,4
02,conv,23
02,drug,1
02,restaurant,47
03,bakery,239
03,bar,341
03,cafe,107
03,conv,26
03,drug,1
03,restaurant,1252
03,super,2
04,bakery,12
04,bar,7
04,cafe,8
04,conv,50
04,drug,5
04,restaurant,116
04,super,4
05,bakery,1
05,conv,18
05,restaurant,21
06,bakery,221
06,bar,113
06,cafe,23
06,conv,14
06,drug,3
06,restaurant,1629
06,super,1
07,bakery,3
07,bar,3
07,conv,30
07,drug,3
07,restaurant,50
07,super,1
08,bakery,43
08,bar,90
08,cafe,40
08,conv,51
08,drug,6
08,restaurant,510
08,super,4
09,bakery,91
09,bar,245
09,cafe,58
09,conv,26
09,drug,4
09,restaurant,735
09,super,3
10,bakery,230
10,bar,233
10,cafe,122
10,conv,33
10,drug,6
10,restaurant,1163
10,super,1
11,bakery,50
11,bar,44
11,cafe,21
11,conv,109
11,drug,15
11,restaurant,777
11,super,8
12,bakery,217
12,bar,393
12,cafe,184
12,conv,100
12,drug,12
12,restaurant,2394
12,super,14
13,bakery,229
13,bar,408
13,cafe,275
13,conv,268
13,drug,22
13,restaurant,2270
13,super,11
14,bakery,133
14,bar,98
14,cafe,88
14,conv,152
14,drug,10
14,restaurant,1339
14,super,6
15,bakery,9
15,bar,1
15,cafe,6
15,conv,17
15,restaurant,93
15,super,3
16,bakery,124
16,bar,37
16,cafe,47
16,conv,12
16,drug,2
16,restaurant,626
17,bakery,233
17,bar,135
17,cafe,105
17,conv,14
17,drug,2
17,restaurant,917
17,super,1
18,bakery,7
18,bar,6
18,cafe,3
18,conv,13
18,restaurant,61
19,bakery,161
19,bar,197
19,cafe,109
19,conv,18
19,drug,2
19,restaurant,854
19,super,2
20,bakery,391
20,bar,6
20,cafe,17
20,conv,11
20,drug,5
20,restaurant,2827
20,super,6
21,bakery,44
21,bar,10
21,cafe,13
21,conv,28
21,drug,5
21,restaurant,193
21,super,3
22,bakery,640
22,bar,693
22,cafe,281
22,conv,69
22,drug,10
22,restaurant,4042
22,super,7
23,bakery,59
23,bar,30
23,cafe,45
23,conv,160
23,drug,18
23,restaurant,501
23,super,17
24,bakery,14
24,bar,6
24,cafe,5
24,conv,27
24,drug,5
24,restaurant,99
24,super,3
25,bakery,9
25,bar,1
25,cafe,2
25,conv,10
25,drug,1
25,restaurant,69
26,bakery,285
26,bar,21
26,cafe,45
26,conv,26
26,drug,8
26,restaurant,1397
26,super,3
27,bakery,133
27,bar,335
27,cafe,185
27,conv,132
27,drug,20
27,restaurant,1005
27,super,7
28,bakery,23
28,bar,31
28,cafe,23
28,conv,48
28,drug,9
28,restaurant,282
28,super,7
29,bakery,84
29,bar,125
29,cafe,95
29,conv,9
29,restaurant,466
29,super,1
30,bakery,219
30,bar,149
30,cafe,111
30,conv,2
30,drug,3
30,restaurant,1038
30,super,2
31,bakery,50
31,bar,2
31,cafe,4
31,conv,12
31,drug,1
31,restaurant,449
32,bakery,1
32,bar,1
32,conv,14
32,drug,6
32,restaurant,21
33,bakery,255
33,bar,15
33,cafe,36
33,conv,32
33,drug,3
33,restaurant,2167
33,super,4
34,bakery,335
34,bar,279
34,cafe,219
34,conv,40
34,drug,4
34,restaurant,1798
34,super,1
35,bakery,286
35,bar,105
35,cafe,52
35,conv,21
35,restaurant,2082
35,super,2
36,bakery,189
36,bar,258
36,cafe,148
36,conv,15
36,drug,3
36,restaurant,937
36,super,2
37,bakery,229
37,bar,26
37,cafe,56
37,conv,23
37,drug,5
37,restaurant,994
37,super,2
38,bakery,287
38,bar,569
38,cafe,236
38,conv,21
38,drug,7
38,restaurant,1415
38,super,2
39,bakery,239
39,bar,278
39,cafe,97
39,conv,18
39,drug,2
39,restaurant,1375
39,super,2
40,bakery,713
40,bar,869
40,cafe,305
40,conv,87
40,dentist,91
40,drug,22
40,pharmacy,179
40,physician,190
40,restaurant,5194
40,super,21
41,bakery,204
41,bar,107
41,cafe,43
41,conv,17
41,dentist,12
41,drug,4
41,pharmacy,16
41,physician,16
41,restaurant,1123
41,super,1
42,bakery,289
42,bar,410
42,cafe,118
42,conv,20
42,dentist,9
42,drug,5
42,pharmacy,23
42,physician,24
42,restaurant,1856
42,super,7
43,bakery,278
43,bar,155
43,cafe,57
43,conv,18
43,dentist,23
43,drug,1
43,pharmacy,54
43,physician,33
43,restaurant,1407
44,bakery,4
44,bar,1
44,cafe,1
44,conv,10
44,dentist,6
44,drug,1
44,pharmacy,26
44,physician,18
44,restaurant,30
44,super,1
45,bakery,73
45,bar,172
45,cafe,59
45,conv,9
45,dentist,14
45,drug,1
45,pharmacy,26
45,physician,31
45,restaurant,334
46,bakery,128
46,bar,17
46,cafe,9
46,conv,15
46,dentist,24
46,pharmacy,50
46,physician,42
46,restaurant,1089
47,bakery,16
47,cafe,12
47,conv,41
47,dentist,19
47,drug,2
47,pharmacy,39
47,physician,49
47,restaurant,82
47,super,2
