pref,pref_code,cat,date,shop,addr,lat,lon,lat_i,lon_i
aichi,23,コンビニ,2025-07-01,法人番号3180001157216株式会社エージェイアイ商店ファミリーマート新栄一丁目店,名古屋市中区新栄一丁目16番12号,35.166912,136.919403,8440,5907
aichi,23,スーパー,2025-07-08,法人番号1080101006499マックスバリュ東海株式会社マックスバリュエクスプレス御器所２丁目店,名古屋市昭和区御器所二丁目5番11号,35.149204,136.922424,8435,5907
aichi,23,コンビニ,2025-07-01,加藤和也ローソン南区芝町店,名古屋市南区芝町30番地,35.097404,136.942017,8423,5910
aichi,23,ドラッグ・薬局,2025-07-08,法人番号7180301016951株式会社スギ薬局スギドラッグ豊明寺池店,豊明市沓掛町寺池91番地,35.061054,137.015457,8414,5922
aichi,23,ドラッグ・薬局,2025-07-01,法人番号9290001025414株式会社コスモス薬品ドラッグコスモス百々店,岡崎市百々町字七社12番地,34.986679,137.170853,8396,5947
aichi,23,コンビニ,2025-07-08,法人番号7180002088142有限会社浅井商店ファミリーマート知多にしの台店,知多市にしの台二丁目1305番地,34.9772,136.874359,8394,5899
aichi,23,コンビニ,2025-07-01,中山雄太セブン－イレブン豊田市秋葉町店,豊田市秋葉町一丁目72番地,35.063309,137.16713,8415,5946
aichi,23,コンビニ,2025-07-16,法人番号1010001088181株式会社セブン－イレブン・ジャパンセブン－イレブン扶桑南山名店,丹羽郡扶桑町大字南山名字前ノ浦51番地1,35.365631,136.903976,8487,5904
akita,05,コンビニ,2025-07-01,佐々木繁喜ファミリーマート秋田土崎港相染町店,秋田市土崎港相染町字中谷地169番地2,39.766537,140.064301,9543,6410
aomori,02,コンビニ,2025-07-01,乳井亮セブン－イレブン弘前駅前3丁目店,弘前市大字駅前三丁目2番地2,40.599476,140.480881,9743,6476
aomori,02,コンビニ,2025-07-05,法人番号2420001013436株式会社ミブローソン八戸沢里二ツ屋店,八戸市大字沢里字二ツ屋4番地1,40.487705,141.478378,9717,6636
aomori,02,コンビニ,2025-07-01,法人番号7420001016046株式会社佐々木商店ローソン十和田東二十三番町店,十和田市東二十三番町29番6号,40.624535,141.235489,9749,6597
chiba,12,コンビニ,2025-07-01,佐久間丈敏ローソン君津末吉店,君津市末吉２２２番地１,35.327866,140.062119,8478,6409
